dur,proto,state,stos,dtos,tot_pkts,tot_bytes,src_bytes,BinaryLabel
0.000412,3,1,0.0,0.0,2,207,72,0
0.010391,2,14,0.0,0.0,10,1129,457,0
0.000236,3,1,0.0,0.0,2,207,72,0
0.000305,3,1,0.0,0.0,2,247,72,0
0.007588,2,14,0.0,0.0,10,1129,457,0
0.000295,3,1,0.0,0.0,2,400,74,0
0.000386,3,1,0.0,0.0,2,400,74,0
0.017757,2,9,0.0,0.0,7,478,272,0
0.000256,3,1,0.0,0.0,2,247,72,0
0.007344,2,14,0.0,0.0,10,1129,457,0
0.000289,3,1,0.0,0.0,2,227,75,0
0.00028,3,1,0.0,0.0,2,377,75,0
115.10813,2,14,0.0,0.0,16,4057,3139,0
0.000254,3,1,0.0,0.0,2,207,72,0
0.00026,3,1,0.0,0.0,2,247,72,0
0.025219,2,14,0.0,0.0,10,1129,457,0
0.000247,3,1,0.0,0.0,2,244,81,0
0.000411,3,1,0.0,0.0,2,280,81,0
0.203456,2,14,0.0,0.0,10,1219,549,0
0.000293,3,1,0.0,0.0,2,207,72,0
0.000279,3,1,0.0,0.0,2,247,72,0
0.005749,2,14,0.0,0.0,10,1129,457,0
0.000389,3,1,0.0,0.0,2,400,74,0
0.018205,2,9,0.0,0.0,6,412,272,0
0.000252,3,1,0.0,0.0,2,207,72,0
0.00623,2,14,0.0,0.0,10,1129,457,0
0.000247,3,1,0.0,0.0,2,207,72,0
0.000339,3,1,0.0,0.0,2,247,72,0
0.000178,3,1,0.0,0.0,2,207,72,0
0.000447,3,1,0.0,0.0,2,247,72,0
0.008017,2,14,0.0,0.0,10,1129,457,0
0.000479,3,1,0.0,0.0,2,400,74,0
0.000404,3,1,0.0,0.0,2,400,74,0
0.01825,2,9,0.0,0.0,6,412,272,0
0.00021,3,1,0.0,0.0,2,207,72,0
0.000311,3,1,0.0,0.0,2,247,72,0
0.006373,2,14,0.0,0.0,10,1129,457,0
0.0003,3,1,0.0,0.0,2,207,72,0
0.006305,2,14,0.0,0.0,10,1129,457,0
0.000241,3,1,0.0,0.0,2,247,72,0
0.047921,2,14,0.0,0.0,10,1129,457,0
0.000366,3,1,0.0,0.0,2,207,72,0
0.006738,2,14,0.0,0.0,10,1129,457,0
0.000343,3,1,0.0,0.0,2,400,74,0
0.000425,3,1,0.0,0.0,2,400,74,0
0.018143,2,9,0.0,0.0,6,412,272,0
0.021619,2,14,0.0,0.0,10,1129,457,0
567.2875,3,1,0.0,0.0,5,450,270,0
0.000268,3,1,0.0,0.0,2,247,72,0
0.008097,2,14,0.0,0.0,10,1129,457,0
0.000251,3,1,0.0,0.0,2,244,81,0
0.00031,3,1,0.0,0.0,2,280,81,0
0.226743,2,14,0.0,0.0,10,1218,549,0
0.000322,3,1,0.0,0.0,2,247,72,0
0.000508,3,1,0.0,0.0,2,400,74,0
0.019413,2,9,0.0,0.0,6,412,272,0
0.000293,3,1,0.0,0.0,2,247,72,0
0.009414,2,14,0.0,0.0,10,1129,457,0
0.005774,2,14,0.0,0.0,10,1129,457,0
3435.8264,3,1,0.0,0.0,66,5940,2970,0
0.000259,3,1,0.0,0.0,2,207,72,0
0.000225,3,1,0.0,0.0,2,247,72,0
0.006245,2,14,0.0,0.0,10,1129,457,0
0.000434,3,1,0.0,0.0,2,400,74,0
0.000271,3,1,0.0,0.0,2,400,74,0
0.017878,2,9,0.0,0.0,6,412,272,0
0.000265,3,1,0.0,0.0,2,247,72,0
0.006589,2,14,0.0,0.0,10,1129,457,0
0.000339,3,1,0.0,0.0,2,207,72,0
0.00034,3,1,0.0,0.0,2,247,72,0
0.005909,2,14,0.0,0.0,10,1129,457,0
0.000103,3,1,0.0,0.0,2,207,72,0
0.000294,3,1,0.0,0.0,2,247,72,0
0.007247,2,14,0.0,0.0,10,1129,457,0
0.0005,3,1,0.0,0.0,2,207,72,0
0.000481,3,1,0.0,0.0,2,247,72,0
0.005954,2,14,0.0,0.0,10,1129,457,0
0.000353,3,1,0.0,0.0,2,400,74,0
0.000346,3,1,0.0,0.0,2,400,74,0
0.019113,2,9,0.0,0.0,6,412,272,0
0.000376,3,1,0.0,0.0,2,207,72,0
0.007289,2,14,0.0,0.0,10,1129,457,0
0.000322,3,1,0.0,0.0,2,207,72,0
0.000377,3,1,0.0,0.0,2,247,72,0
0.0056,2,14,0.0,0.0,10,1129,457,0
0.000165,3,1,0.0,0.0,2,244,81,0
0.191033,2,14,0.0,0.0,10,1219,549,0
0.000158,3,1,0.0,0.0,2,207,72,0
0.000412,3,1,0.0,0.0,2,247,72,0
0.006564,2,14,0.0,0.0,10,1129,457,0
0.018072,2,9,0.0,0.0,7,478,272,0
0.000274,3,1,0.0,0.0,2,207,72,0
0.00019,3,1,0.0,0.0,2,247,72,0
0.008,2,14,0.0,0.0,10,1129,457,0
0.000287,3,1,0.0,0.0,2,207,72,0
0.000403,3,1,0.0,0.0,2,247,72,0
0.006346,2,14,0.0,0.0,10,1129,457,0
0.000556,3,1,0.0,0.0,2,207,72,0
0.000493,3,1,0.0,0.0,2,247,72,0
0.008404,2,14,0.0,0.0,10,1129,457,0
0.000441,3,1,0.0,0.0,2,402,87,0
0.000422,3,1,0.0,0.0,2,402,87,0
0.000421,3,1,0.0,0.0,2,400,74,0
0.000289,3,1,0.0,0.0,2,400,74,0
0.018381,2,9,0.0,0.0,6,412,272,0
0.000351,3,1,0.0,0.0,2,207,72,0
0.000298,3,1,0.0,0.0,2,247,72,0
0.005346,2,14,0.0,0.0,10,1129,457,0
0.000298,3,1,0.0,0.0,2,207,72,0
0.00624,2,14,0.0,0.0,10,1129,457,0
0.00027,3,1,0.0,0.0,2,207,72,0
0.000346,3,1,0.0,0.0,2,247,72,0
0.005945,2,14,0.0,0.0,10,1129,457,0
0.000302,3,1,0.0,0.0,2,207,72,0
0.000149,3,1,0.0,0.0,2,247,72,0
0.006844,2,14,0.0,0.0,10,1129,457,0
0.000571,3,1,0.0,0.0,2,400,74,0
0.000477,3,1,0.0,0.0,2,400,74,0
0.020516,2,9,0.0,0.0,6,412,272,0
0.000693,3,1,0.0,0.0,2,207,72,0
0.006519,2,14,0.0,0.0,10,1129,457,0
0.000239,3,1,0.0,0.0,2,247,72,0
0.006908,2,14,0.0,0.0,10,1129,457,0
0.000375,3,1,0.0,0.0,2,244,81,0
0.000549,3,1,0.0,0.0,2,280,81,0
0.190273,2,14,0.0,0.0,10,1219,549,0
0.010588,2,14,0.0,0.0,10,1129,457,0
0.000441,3,1,0.0,0.0,2,400,74,0
0.000324,3,1,0.0,0.0,2,400,74,0
0.018555,2,9,0.0,0.0,6,412,272,0
0.000335,3,1,0.0,0.0,2,247,72,0
0.007086,2,14,0.0,0.0,11,1195,523,0
0.000251,3,1,0.0,0.0,2,207,72,0
0.007583,2,14,0.0,0.0,10,1129,457,0
0.000357,3,1,0.0,0.0,2,238,77,0
0.000344,3,1,0.0,0.0,2,404,77,0
0.0002,3,1,0.0,0.0,2,207,72,0
0.000356,3,1,0.0,0.0,2,247,72,0
0.006311,2,14,0.0,0.0,10,1129,457,0
0.00034,3,1,0.0,0.0,2,400,74,0
0.000331,3,1,0.0,0.0,2,400,74,0
0.01824,2,9,0.0,0.0,6,412,272,0
0.000284,3,1,0.0,0.0,2,207,72,0
0.006493,2,14,0.0,0.0,10,1129,457,0
0.0004,3,1,0.0,0.0,2,247,72,0
0.008777,2,14,0.0,0.0,10,1129,457,0
0.000168,3,1,0.0,0.0,2,207,72,0
0.000364,3,1,0.0,0.0,2,247,72,0
0.006681,2,14,0.0,0.0,10,1129,457,0
0.000217,3,1,0.0,0.0,2,207,72,0
0.007739,2,14,0.0,0.0,10,1129,457,0
0.000196,3,1,0.0,0.0,2,211,76,0
0.000249,3,1,0.0,0.0,2,211,76,0
0.000226,3,1,0.0,0.0,2,210,76,0
0.000394,3,1,0.0,0.0,2,400,74,0
0.000366,3,1,0.0,0.0,2,400,74,0
0.017766,2,9,0.0,0.0,6,412,272,0
22.653736,3,1,0.0,0.0,16,1440,720,0
0.000269,3,1,0.0,0.0,2,247,72,0
0.007212,2,14,0.0,0.0,10,1129,457,0
0.000331,3,1,0.0,0.0,2,207,72,0
0.008839,2,14,0.0,0.0,10,1129,457,0
0.000294,3,1,0.0,0.0,2,244,81,0
0.000222,3,1,0.0,0.0,2,280,81,0
0.203475,2,14,0.0,0.0,10,1219,549,0
0.000228,3,1,0.0,0.0,2,247,72,0
0.000348,3,1,0.0,0.0,2,400,74,0
0.019421,2,9,0.0,0.0,6,412,272,0
0.000367,3,1,0.0,0.0,2,207,72,0
0.006275,2,14,0.0,0.0,10,1129,457,0
0.000273,3,1,0.0,0.0,2,207,72,0
0.00031,3,1,0.0,0.0,2,247,72,0
0.007874,2,14,0.0,0.0,10,1129,457,0
0.000221,3,1,0.0,0.0,2,207,72,0
0.020122,2,14,0.0,0.0,10,1129,457,0
0.000345,3,1,0.0,0.0,2,400,74,0
0.018472,2,9,0.0,0.0,6,412,272,0
0.000276,3,1,0.0,0.0,2,207,72,0
0.000211,3,1,0.0,0.0,2,247,72,0
0.006006,2,14,0.0,0.0,10,1129,457,0
0.000218,3,1,0.0,0.0,2,207,72,0
0.006424,2,14,0.0,0.0,10,1129,457,0
0.000365,3,1,0.0,0.0,2,247,72,0
0.010402,2,14,0.0,0.0,10,1129,457,0
0.006796,2,14,0.0,0.0,10,1129,457,0
0.00033,3,1,0.0,0.0,2,400,74,0
0.000292,3,1,0.0,0.0,2,400,74,0
0.018119,2,9,0.0,0.0,6,412,272,0
0.00032,3,1,0.0,0.0,2,207,72,0
0.000249,3,1,0.0,0.0,2,247,72,0
0.007004,2,14,0.0,0.0,10,1129,457,0
0.000277,3,1,0.0,0.0,2,207,72,0
0.000523,3,1,0.0,0.0,2,247,72,0
0.005937,2,14,0.0,0.0,10,1129,457,0
0.000287,3,1,0.0,0.0,2,244,81,0
0.000277,3,1,0.0,0.0,2,280,81,0
0.210782,2,14,0.0,0.0,10,1219,549,0
0.000325,3,1,0.0,0.0,2,207,72,0
0.000243,3,1,0.0,0.0,2,247,72,0
0.007854,2,14,0.0,0.0,10,1129,457,0
0.000409,3,1,0.0,0.0,2,400,74,0
0.000387,3,1,0.0,0.0,2,400,74,0
0.017867,2,9,0.0,0.0,6,412,272,0
0.008056,2,14,0.0,0.0,10,1129,457,0
0.000162,3,1,0.0,0.0,2,207,72,0
0.006126,2,14,0.0,0.0,10,1129,457,0
0.000186,3,1,0.0,0.0,2,207,72,0
0.00763,2,14,0.0,0.0,10,1129,457,0
0.000336,3,1,0.0,0.0,2,400,74,0
0.018022,2,9,0.0,0.0,6,412,272,0
0.00034,3,1,0.0,0.0,2,207,72,0
0.006063,2,14,0.0,0.0,10,1129,457,0
0.00028,3,1,0.0,0.0,2,207,72,0
0.008616,2,14,0.0,0.0,10,1129,457,0
0.000235,3,1,0.0,0.0,2,207,72,0
0.000323,3,1,0.0,0.0,2,247,72,0
0.020187,2,14,0.0,0.0,10,1129,457,0
0.000432,3,1,0.0,0.0,2,247,72,0
0.005997,2,14,0.0,0.0,10,1129,457,0
0.000452,3,1,0.0,0.0,2,400,74,0
0.018378,2,9,0.0,0.0,6,412,272,0
0.000311,3,1,0.0,0.0,2,207,72,0
0.007043,2,14,0.0,0.0,10,1129,457,0
0.000267,3,1,0.0,0.0,2,207,72,0
0.011696,2,14,0.0,0.0,10,1129,457,0
0.000224,3,1,0.0,0.0,2,244,81,0
0.000327,3,1,0.0,0.0,2,280,81,0
0.244378,2,14,0.0,0.0,10,1219,549,0
0.000214,3,1,0.0,0.0,2,207,72,0
0.005813,2,14,0.0,0.0,10,1129,457,0
0.000347,3,1,0.0,0.0,2,400,74,0
0.018295,2,9,0.0,0.0,6,412,272,0
0.000329,3,1,0.0,0.0,2,247,72,0
0.007285,2,14,0.0,0.0,10,1129,457,0
0.000519,3,1,0.0,0.0,2,207,72,0
0.000156,3,1,0.0,0.0,2,247,72,0
0.00814,2,14,0.0,0.0,10,1129,457,0
0.000315,3,1,0.0,0.0,2,207,72,0
0.000606,3,1,0.0,0.0,2,247,72,0
0.00822,2,14,0.0,0.0,10,1129,457,0
0.000473,3,1,0.0,0.0,2,400,74,0
0.000383,3,1,0.0,0.0,2,400,74,0
0.018131,2,9,0.0,0.0,7,478,272,0
0.000182,3,1,0.0,0.0,2,207,72,0
0.009085,2,14,0.0,0.0,10,1129,457,0
259.42145,2,14,0.0,0.0,42,6225,3806,0
0.000255,3,1,0.0,0.0,2,207,72,0
0.005663,2,14,0.0,0.0,10,1129,457,0
0.000338,3,1,0.0,0.0,2,207,72,0
0.012186,2,14,0.0,0.0,10,1129,457,0
0.000379,3,1,0.0,0.0,2,400,74,0
0.000377,3,1,0.0,0.0,2,400,74,0
0.018101,2,9,0.0,0.0,6,412,272,0
0.000391,3,1,0.0,0.0,2,207,72,0
0.007777,2,14,0.0,0.0,10,1129,457,0
0.006976,2,14,0.0,0.0,10,1129,457,0
0.000153,3,1,0.0,0.0,2,207,72,0
0.000292,3,1,0.0,0.0,2,247,72,0
0.009071,2,14,0.0,0.0,10,1129,457,0
0.000304,3,1,0.0,0.0,2,244,81,0
0.000334,3,1,0.0,0.0,2,280,81,0
0.214867,2,14,0.0,0.0,10,1219,549,0
0.332148,2,14,0.0,0.0,15,2044,875,0
0.356153,2,14,0.0,0.0,22,4821,1411,0
0.348408,2,14,0.0,0.0,15,2064,895,0
0.000307,3,1,0.0,0.0,2,207,72,0
0.00837,2,14,0.0,0.0,10,1129,457,0
0.262158,2,14,0.0,0.0,16,2649,1142,0
0.270084,2,14,0.0,0.0,16,2677,1162,0
0.320378,2,14,0.0,0.0,16,2677,1162,0
0.000393,3,1,0.0,0.0,2,400,74,0
0.000293,3,1,0.0,0.0,2,400,74,0
0.018351,2,9,0.0,0.0,7,478,272,0
0.000238,3,1,0.0,0.0,2,207,72,0
0.000285,3,1,0.0,0.0,2,247,72,0
0.000316,3,1,0.0,0.0,2,207,72,0
0.000387,3,1,0.0,0.0,2,247,72,0
0.007799,2,14,0.0,0.0,10,1129,457,0
0.006042,2,14,0.0,0.0,10,1129,457,0
0.000388,3,1,0.0,0.0,2,400,74,0
0.018384,2,9,0.0,0.0,6,412,272,0
0.000531,3,1,0.0,0.0,2,207,72,0
0.000505,3,1,0.0,0.0,2,247,72,0
0.006787,2,14,0.0,0.0,10,1129,457,0
0.000374,3,1,0.0,0.0,2,247,72,0
0.005897,2,14,0.0,0.0,10,1129,457,0
0.000333,3,1,0.0,0.0,2,207,72,0
0.026916,2,14,0.0,0.0,10,1129,457,0
0.000359,3,1,0.0,0.0,2,400,74,0
0.000439,3,1,0.0,0.0,2,400,74,0
0.018136,2,9,0.0,0.0,6,412,272,0
0.000336,3,1,0.0,0.0,2,247,72,0
0.006394,2,14,0.0,0.0,11,1195,523,0
3566.733,2,30,0.0,0.0,90,8626,4925,0
0.006899,2,14,0.0,0.0,10,1129,457,0
0.000328,3,1,0.0,0.0,2,207,72,0
0.000259,3,1,0.0,0.0,2,244,81,0
0.000307,3,1,0.0,0.0,2,280,81,0
0.216718,2,14,0.0,0.0,10,1219,549,0
0.000264,3,1,0.0,0.0,2,207,72,0
0.008437,2,14,0.0,0.0,10,1129,457,0
0.000279,3,1,0.0,0.0,2,400,74,0
0.018621,2,9,0.0,0.0,6,412,272,0
0.000232,3,1,0.0,0.0,2,247,72,0
0.000312,3,1,0.0,0.0,2,207,72,0
0.000315,3,1,0.0,0.0,2,247,72,0
0.000314,3,1,0.0,0.0,2,247,72,0
0.007002,2,14,0.0,0.0,10,1129,457,0
0.000326,3,1,0.0,0.0,2,400,74,0
0.000657,3,1,0.0,0.0,2,400,74,0
0.018835,2,9,0.0,0.0,7,478,272,0
0.000201,3,1,0.0,0.0,2,207,72,0
0.000423,3,1,0.0,0.0,2,247,72,0
0.007228,2,14,0.0,0.0,10,1129,457,0
0.000317,3,1,0.0,0.0,2,207,72,0
0.008763,2,14,0.0,0.0,10,1129,457,0
